house_id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_basement,yr_built,yr_renovated,street,city
25,285000,3,3,2090,10834,1,4,730,1987,0,27736 23rd Avenue South,Federal Way
26,615000,3,2,2360,7291,1,4,1000,1948,0,8436-8438 41st Ave SW,Seattle
27,698000,4,2,2200,11250,1,5,900,1920,0,1036 4th St,Kirkland
28,675000,5,3,2820,67518,2,3,0,1979,2014,23525 SE 32nd Way,Issaquah
29,790000,3,3,2600,4750,1,4,900,1951,1999,3314 NW 75th St,Seattle
30,382500,4,2,1560,8700,1,4,0,1967,0,14104 119th Ave NE,Kirkland
31,499950,4,3,2860,3345,2,3,670,2004,2003,20120 137th Ave NE,Woodinville
32,650000,4,2,1820,5000,1,3,180,1945,2010,7201-7399 55th Ave NE,Seattle
33,625000,4,3,2820,8408,2,3,0,2014,0,17052 4th Ave NE,Shoreline
34,400000,4,3,3630,42884,1,3,1330,1979,2014,5172-5198 Heather Ave SE,Auburn
35,604000,3,3,3240,33151,2,3,0,1995,0,30822 36th Ct SW,Federal Way
36,440000,2,1,800,4850,1,4,0,1944,0,4801-4899 6th Ave NW,Seattle
37,287200,3,3,1850,19966,1,4,760,1992,0,23017 SE 281st Ct,Maple Valley
38,403000,3,2,1960,13100,1,5,310,1957,0,17825 4th Ave SW,Normandy Park
39,750000,3,3,2390,6550,1,4,950,1955,2009,3628 59th Ave SW,Seattle
40,335000,3,2,1580,16215,1,4,0,1978,2000,4460 332nd Ave SE,Fall City
41,260000,4,2,1480,8625,1,4,0,1974,0,2019 Aberdeen Pl SE,Renton
42,308500,2,1,850,6174,1,4,0,1950,1983,121 NE 147th St,Shoreline
43,439950,3,3,1770,2875,2,3,0,1990,2009,4458 51st Ave SW,Seattle
44,235000,2,1,1210,9400,1,2,0,1949,0,7542 21st Ave SW,Seattle
45,315000,3,1,1160,9180,1,3,0,1968,1997,15804 198th Pl NE,Woodinville
46,437500,3,2,1970,35100,2,4,0,1977,0,26069 SE 154th St,Issaquah
47,407500,3,3,1930,10460,2,3,0,1996,0,4314 NE 6th Pl,Renton
48,445700,3,3,1270,1180,3,3,0,2001,0,2640 NW 56th St,Seattle
49,838000,4,3,3310,42998,2,3,0,2001,0,15712 NE 136th Pl,Redmond
50,630000,4,3,2710,37277,2,3,0,2000,0,26429 SE 154th Pl,Issaquah
51,550000,3,2,2910,35200,1,3,0,1979,2014,3923 229th Pl SE,Sammamish
52,805000,3,2,2710,4500,1,4,830,1929,0,6222 30th Ave NE,Seattle
53,284000,3,2,1800,23103,1,3,0,1968,1997,32418 NE 50th St,Carnation
54,470000,5,3,2210,9655,1,3,750,1976,0,19334 89th Ave NE,Bothell
55,430000,4,2,1920,10000,1,4,850,1954,1979,4071 156th Ave SE,Bellevue
56,491500,4,2,2190,125452,1,3,0,1968,1997,36850 204th Ave SE,Auburn
57,785000,5,3,3660,11995,2,3,0,2006,0,7425 Snowberry Ave SE,Snoqualmie
58,385000,3,3,1320,1327,2,3,280,2008,0,3400 21st Ave W,Seattle
59,295000,2,3,1630,1368,2,3,350,2009,0,5944-6082 Delridge Way SW,Seattle
60,555000,4,3,3310,6500,2,3,0,2012,1912,35229 SE Terrace St,Snoqualmie
61,459990,3,3,2680,5539,2,3,0,2013,1923,13800 453rd Ave SE,North Bend
62,625000,4,3,2730,54014,1,3,1170,2007,0,9927 174th Ave SE,Renton
63,300000,3,3,2540,5050,2,3,0,2006,0,29734 215th Terrace SE,Kent
64,625000,4,3,2920,6605,2,3,0,2012,1912,5608 NE 5th Cir,Renton
65,553000,2,1,900,5000,1,3,0,1944,0,8053 29th Ave NW,Seattle
66,379880,3,3,1650,14054,1,4,520,1986,0,13256 242nd Pl SE,Issaquah
67,310000,3,1,1010,9945,1,4,0,1973,0,7528 N Fork Rd SE,Snoqualmie
68,775000,2,3,2680,7392,1,3,0,2004,2003,13134 234th Ct NE,Redmond
69,365000,3,3,2200,7350,1,5,630,1988,0,13420 SE 182nd St,Renton
70,331950,4,3,2530,9933,2,3,520,1990,2009,925 48th Ct,Auburn
71,783500,3,3,2850,7130,2,3,860,1980,0,151 Euclid Ave,Seattle
72,628000,4,2,2280,6010,1,3,1140,1900,2005,205-206 Euclid Ave,Seattle
73,560000,3,3,1900,8744,2,3,0,1987,2000,22314 NE 11th Pl,Sammamish
74,900000,3,1,1330,77972,1,3,0,1928,1954,13615 NE 100th St,Kirkland
75,531000,2,3,1270,1175,2,3,160,2000,0,1411 N 48th St,Seattle
76,831000,4,3,2170,4000,2,4,560,1982,2011,120 31st Ave E,Seattle
77,780000,4,3,2730,10281,2,3,0,1996,0,23140 NE 14th Ct,Sammamish
78,755000,4,3,2120,10202,1,4,500,1960,2001,12645 SE 27th St,Bellevue
79,705380,3,3,2490,4343,2,3,0,2003,0,3187 NE Larkspur Ln,Issaquah
80,627000,4,2,1990,7712,1,3,780,1973,2013,18915 SE 42nd Pl,Issaquah
81,865000,4,3,3690,9892,2,3,0,1998,2006,1765 267th Ct SE,Sammamish
82,580000,2,1,2540,7000,1,5,1220,1942,0,8624 Island Dr S,Seattle
83,410000,3,2,1800,36704,1,4,440,1978,2000,24502 SE Mirrormont Dr,Issaquah
84,485000,4,3,2340,7048,1,4,1000,1979,0,14319 85th Pl NE,Kirkland
85,400000,2,2,2110,9519,1,2,0,1948,0,2120 NE 168th St,Shoreline
86,549000,2,1,1140,5400,1,5,0,1908,0,209 30th Ave E,Seattle
87,620000,3,2,1480,2185,2,3,0,2005,0,10512 128th Ave NE,Kirkland
88,405000,2,3,1410,1240,2,3,270,2006,0,9126 45th Ave SW,Seattle
89,232000,2,1,1200,8063,1,4,0,1958,1972,20220 8th Ave S,Des Moines
90,800866,5,3,3180,13806,2,4,0,1990,0,11821 NE 48th Pl,Kirkland
91,650000,3,2,2160,9000,1,4,760,1949,1985,13026 10th Ave NW,Seattle
92,823000,6,2,2920,5000,2,4,140,1908,0,125 29th Ave,Seattle
93,770000,3,2,2350,5700,1,4,540,1939,1989,2171 Boyer Ave E,Seattle
94,524000,3,2,1560,5520,1,4,780,1944,0,3434 33rd Ave W,Seattle
95,541125,5,3,2740,8426,1,4,1370,1960,2001,5211 116th Pl SE,Bellevue
96,670000,3,3,1680,2000,3,3,0,1909,1998,3503 NE 44th St,Seattle
97,384900,5,3,3090,12750,1,3,1340,1968,1997,114 SW 292nd St,Federal Way
98,406100,3,2,1410,1332,3,3,0,2005,0,8536 Interlake Ave N,Seattle
99,1395000,5,4,4010,8510,2,5,1160,1971,0,3930 NE Belvoir Pl,Seattle
100,736500,4,3,3180,21904,2,3,0,2000,0,17132 SE 100th St,Renton
101,570000,3,2,2010,6000,1,3,680,1975,0,10204 168th Pl NE,Redmond
102,787000,3,2,1330,7500,1,3,0,1961,2004,218 109th Ave SE,Bellevue
103,328000,4,3,2370,6500,2,3,0,1998,2006,12621 SE 300th Way,Auburn
104,435000,5,2,1840,9240,1,4,300,1942,1958,14013 Ashworth Ave N,Seattle
105,499000,4,3,2910,6479,2,3,0,2006,0,34010 SE Sorenson St,Snoqualmie
106,501000,4,1,2070,7519,1,3,910,1963,2008,2506 166th Ave NE,Bellevue
107,1090000,4,3,4340,141570,2,3,0,1992,0,8814 218th Ave NE,Redmond
108,400000,2,1,840,5510,1,3,0,1955,2005,4515 SW Trenton St,Seattle
109,220000,4,2,1240,9600,1,3,0,1971,0,4924 SW 314th Pl,Federal Way
110,657100,4,1,1390,4240,1,3,340,1924,2011,4312 Woodlawn Ave N,Seattle
111,309950,4,3,2310,5000,2,3,0,2006,0,22912 SE 268th Pl,Maple Valley
112,300000,3,2,1050,10072,1,3,0,1986,0,27106 NE Miller St,Duvall
113,525888,5,2,2550,71874,1,5,740,1960,0,13129 195th Pl SE,Issaquah
114,740000,4,2,2010,3600,1,3,0,1902,0,1014 W Garfield St,Seattle
115,340000,5,1,1120,9022,1,4,0,1962,0,14150 75th Ave NE,Kirkland
116,398750,3,3,2230,4000,2,3,0,1954,2005,2601 21st Ave S,Seattle
117,206000,2,1,810,7158,1,5,0,1944,0,12807 7th Ave S,Burien
118,1030000,5,3,3190,16920,1,3,1500,1976,0,4529 135th Ave SE,Bellevue
119,600000,3,2,1670,39639,1,4,0,1976,1992,1804 E Beaver Lake Dr SE,Sammamish
120,379950,4,2,1970,9389,1,5,830,1960,0,1701 N 204th Pl,Shoreline
121,287000,3,1,1450,6000,1,4,0,1953,1983,8681 Beacon Ave S,Seattle
122,2280000,7,8,13540,307752,3,3,4130,1999,0,26408 NE 70th St,Redmond
123,309950,3,3,1880,7838,2,3,0,1994,0,17717 113th Pl SE,Renton
124,600000,3,2,1880,6360,1,4,840,1945,0,8040 39th Ave NE,Seattle
125,418000,3,2,1410,6030,1,4,0,1930,0,901 N 97th St,Seattle
126,449250,4,2,1480,3844,1,5,0,1928,1970,519 N 104th St,Seattle
127,329950,2,1,1140,5250,1,4,0,1949,1985,14017 Roslyn Pl N,Seattle
128,245000,3,2,1920,9306,1,3,920,1984,0,30001-30021 55th Pl S,Auburn
129,549000,4,3,2910,6338,2,3,0,2008,0,16026 SE 137th Terrace,Renton
130,800000,3,3,3240,7857,2,3,0,1994,0,22721-22727 SE 27th St,Sammamish
131,249950,3,2,1550,15040,1,4,0,1958,1972,18027 SE 128th St,Renton
132,210000,5,2,2050,10200,1,3,620,1956,2001,20927-20999 2nd Ave S,Des Moines
133,1425000,2,3,2220,4000,2,3,0,2000,0,1857 41st Ave E,Seattle
134,585000,2,1,1770,8640,1,3,250,1949,1998,353 NW 88th St,Seattle
135,615000,4,2,2300,11700,1,4,340,1977,0,18427 NE 26th Way,Redmond
136,618500,3,2,1800,5000,1,4,720,1942,1982,2803 NE 62nd St,Seattle
137,487585,4,2,2010,9211,1,3,540,1977,2004,13313 127th Pl NE,Kirkland
138,509900,3,3,1790,2700,2,3,0,2010,0,4532 185th Ave SE,Issaquah
139,631625,4,3,2440,6651,2,3,0,2014,0,9288-9358 Holman Rd NW,Seattle
140,555000,3,3,1940,3211,2,3,0,2009,0,4509 185th Ave SE,Issaquah
141,340000,2,2,1160,1438,2,3,0,2001,0,1318 29th Ave S,Seattle
142,830000,4,3,3400,9692,2,3,0,2007,0,12001 173rd Pl NE,Redmond
143,890000,4,4,4420,5750,2,3,1010,2006,0,842 Summerhill Ridge Dr NW,Issaquah
144,366750,3,3,1571,2017,3,3,0,2008,0,14359 19th Ave NE,Seattle
145,415000,3,2,1620,998,2,3,80,2010,0,935 4th Ave NE,Issaquah
146,416286,3,3,1408,989,3,3,0,2005,0,7809 12th Ave NE,Seattle
147,478000,3,3,3040,4535,2,3,0,2007,0,2027 Ferndale Ave NE,Renton
148,890000,5,4,4490,6000,2,3,1290,2006,0,792 Summerhill Ridge Dr NW,Issaquah
149,419190,2,3,1590,1426,2,3,0,2014,0,1273 NE Hickory Ln,Issaquah
150,712198,4,3,2450,4247,2,3,0,2013,1923,17122 NE 117th St,Redmond
151,397000,4,2,1440,7680,1,3,240,1971,0,10601 NE 138th Pl,Kirkland
152,450000,2,2,1100,3000,1,3,0,1912,2005,412 NW 70th St,Seattle
153,353000,3,1,1350,7740,1,4,490,1947,1988,11051 35th Ave NE,Seattle
154,609000,4,3,2150,37981,2,3,0,1985,0,18114 NE 136th St,Redmond
155,234000,3,2,1490,8366,1,4,480,1975,0,25305 151st Pl SE,Covington
156,561000,3,2,2000,7000,2,3,0,1916,1986,6422 Marshall Ave SW,Seattle
157,469000,2,1,1030,4400,1,3,0,1924,2011,310 NW 72nd St,Seattle
158,329350,2,1,720,6687,1,3,0,1942,1999,9712 4th Ave NW,Seattle
159,488000,5,2,2020,5000,1,4,0,1938,0,9020-9024 11th Ave NW,Seattle
160,279900,3,2,1580,8151,1,4,480,1962,0,1629 S 261st Pl,Des Moines
161,606000,4,3,2110,13850,2,3,0,1987,2000,2755 NW Pine Cone Dr,Issaquah
162,312000,4,2,1300,7054,1,3,0,1950,2013,2815 SW 107th St,Seattle
163,650000,3,2,1630,7475,1,3,470,1940,1996,6009 52nd Ave NE,Seattle
164,1135000,4,3,3370,8103,1,3,1400,1970,2014,3922 SW Henderson St,Seattle
165,325000,4,3,1890,6156,1,3,910,1980,0,5631 17th Ave SW,Seattle
166,425000,4,2,1520,7983,1,5,0,1967,0,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill
167,219000,2,1,900,5160,1,3,0,1952,2008,8652 17th Ave SW,Seattle
168,250000,3,1,1050,6874,1,3,0,1954,2005,18305 Dayton Ave N,Shoreline
169,390000,3,2,1260,6500,1,4,0,1966,0,1415 168th Ave NE,Bellevue
170,475000,6,3,3470,117612,1,3,0,1924,2011,19007 80th Ave NE,Kenmore
171,736000,4,3,2290,12047,2,4,0,1988,0,17435 SE 47th St,Bellevue
172,407000,4,2,2810,23400,1,3,1100,1958,2004,23024-23198 17th Ave S,Des Moines
173,272000,3,3,1650,13816,2,3,0,1998,2006,32000-32072 NE 55th St,Carnation
174,362000,3,2,1640,14374,1,4,500,1963,0,17253 Ambaum Blvd S,Burien
175,535000,3,3,1850,10109,2,3,0,1991,0,8409 NE 129th Pl,Kirkland
176,284000,4,3,2000,5390,2,3,0,2003,0,25434 160th Ave SE,Kent
177,367500,3,2,1410,9647,1,3,0,1961,2004,18048 3rd Ave NW,Shoreline
178,379900,4,2,1500,11600,1,4,500,1955,2009,15007 75th Ave NE,Kenmore
179,520000,3,3,2460,54885,2,4,0,1980,0,5424 NE 10th St,Renton
180,175000,3,1,1010,7034,1,3,0,1954,2005,207 NW 5th St,Renton
181,460000,2,2,1230,929,2,3,210,2004,2003,100 24th Ave E,Seattle
182,345000,4,3,2331,3826,2,3,0,2007,0,11853 SE 176th Ct,Renton
183,455000,5,3,2240,7770,1,3,900,1978,0,12633 NE 133rd Pl,Kirkland
184,610000,4,3,2450,10117,1,5,870,1967,0,15607 SE 42nd Ct,Bellevue
185,563000,4,3,3100,15480,2,3,700,1996,0,7422 NE 163rd St,Kenmore
186,612500,4,2,2060,5000,1,3,1030,1949,2013,1708 NW 96th St,Seattle
187,218000,3,2,1850,7684,1,3,530,1979,2014,33945 28th Pl SW,Federal Way
188,404000,4,2,1840,10720,1,3,880,1958,2004,16020 SE 2nd St,Bellevue
189,860000,4,2,3740,32417,2,3,0,2000,0,24507 NE 77th Pl,Redmond
190,136500,3,2,1420,8580,1,3,0,1962,2003,32827 22nd Ave SW,Federal Way
191,313950,3,1,1510,6083,1,4,650,1940,2001,415 NE 94th St,Seattle
192,575000,3,2,2130,6500,1,3,960,1954,2005,2214 W Halladay St,Seattle
193,1225000,4,2,3490,6906,2,4,1210,1928,0,2560 39th Ave W,Seattle
194,280000,3,2,1630,11800,1,4,0,1971,0,12525 458th Ave SE,North Bend
195,515000,3,3,1790,7167,2,3,0,1989,0,920 221st Ave NE,Sammamish
196,513000,4,3,2000,5684,2,3,0,1996,0,9041 NE 160th Pl,Kenmore
197,599000,4,2,2260,29930,2,4,860,1977,0,16022 SE 43rd St,Bellevue
198,685000,4,3,3030,7864,2,3,0,1999,0,24201 SE 1st Pl,Sammamish
199,365000,3,2,1310,8160,1,3,0,1950,2005,13714 Ashworth Ave N,Seattle
200,762300,4,3,3880,14550,2,3,0,1987,2000,22344 NE 31st St,Sammamish
201,1580000,4,3,3760,10920,1,5,1360,1950,0,5650 NE 55th St,Seattle
202,562000,5,2,3040,8111,2,3,0,1984,0,17649 NE 129th Pl,Redmond
203,530000,5,3,2910,9636,1,4,1220,1964,0,3250 165th Ave SE,Bellevue
204,525000,3,3,2970,11985,1,3,1200,1995,0,21603 NE 29th St,Sammamish
205,484000,2,2,1660,6000,1,3,500,1942,1999,4711 University View Pl NE,Seattle
206,725126,4,3,3200,12369,2,3,0,1998,2006,14707 SE 84th St,Newcastle
207,360000,4,2,2680,18768,1,5,0,1965,0,31607-31633 44th Ave S,Auburn
208,387000,3,1,1230,9568,1,5,0,1962,0,12116 SE 71st Pl,Newcastle
209,483500,4,3,2740,45732,2,3,0,1995,0,15418 216th Ave NE,Woodinville
210,655500,4,4,3380,8330,2,3,0,2000,0,1703 NW 200th Ln,Shoreline
211,345000,3,1,1110,6250,1,3,0,1956,2001,3230 NE 95th St,Seattle
212,533000,5,3,1800,3780,1,3,400,1926,2003,7434 Winona Ave N,Seattle
213,385000,3,2,1900,5520,1,3,620,1982,0,5215 32nd Ave S,Seattle
214,675000,2,1,930,36478,1,3,0,1951,1994,4206 SE Newport Way,Bellevue
215,197000,3,2,1690,7735,1,4,630,1976,1992,30020 43rd Pl S,Auburn
216,485000,3,2,1420,4080,1,3,0,1905,2013,720 N 80th St,Seattle
217,1870000,5,4,4510,15175,2,3,0,1969,2002,8300 SE 82nd St,Mercer Island
218,295000,3,2,1980,8000,1,4,420,1974,0,31966 36th Ave SW,Federal Way
219,499000,2,2,1170,2400,1,4,430,1903,0,2112 N 50th St,Seattle
220,1050000,3,3,2200,1970,2,3,590,2008,0,2516 Yale Ave E,Seattle
221,191000,3,2,800,8850,1,4,0,1959,0,1003 SW 307th St,Federal Way
222,500000,3,3,1480,1171,3,3,0,2006,0,135 25th Ave E,Seattle
223,390000,5,4,2890,5000,1,3,1580,2006,0,3665 Renton Ave S,Seattle
224,979000,3,3,2690,4047,3,3,0,2014,0,7000 23rd Ave NW,Seattle
225,580000,4,3,3569,8327,2,3,0,2013,1923,710 S 23rd St,Renton
226,369950,3,2,1270,1320,3,3,0,2006,0,8846 Midvale Ave N,Seattle
227,1800000,5,5,4490,10279,2,3,560,2013,1923,1435 104th Ave SE,Bellevue
228,776000,4,3,3040,6425,2,3,0,2008,0,16775 NE 86th Ct,Redmond
229,519950,3,2,1170,1249,3,3,0,2014,0,1749 NW 60th St,Seattle
230,255000,5,2,2060,8632,1,3,1030,1962,2003,105 SW 129th St,Burien
231,495000,3,1,990,6000,1,3,0,1943,2002,5628 NE 59th St,Seattle
232,510000,4,3,2430,5203,2,3,0,2003,0,1028 NE 153rd Ct,Shoreline
233,1150000,4,4,4460,103382,2,3,0,2001,0,25823 NE 30th Ct,Redmond
234,253000,3,2,1250,10122,1,3,0,1994,0,25502 Kanasket Dr,Black Diamond
235,503000,3,3,1540,6760,1,5,330,1980,0,9626 NE 129th Pl,Kirkland
236,275000,3,3,1600,7000,2,4,0,1993,0,21326 SE 277th Pl,Maple Valley
237,249000,3,1,1110,8423,1,3,0,1952,2008,14613 6th Ave SW,Burien
238,310000,3,2,1840,10723,1,4,620,1974,0,19313 140th Pl SE,Renton
239,750000,3,3,2520,5401,1,4,1160,1946,1989,2806 13th Ave W,Seattle
240,630000,3,3,2680,327135,2,3,0,1995,0,25339 SE 248th St,Ravensdale
241,599999,9,5,3830,6988,2,3,1380,1938,2003,8809 Densmore Ave N,Seattle
242,758000,4,3,2410,9549,1,4,630,1956,0,10627 NE 45th St,Kirkland
243,248500,4,2,1720,10018,1,5,0,1960,0,16635 SE 268th St,Covington
244,310000,3,2,2070,37904,1,4,650,1973,0,19654 116th Ave SE,Kent
245,460000,3,2,1760,9055,2,4,0,1985,0,5003 159th Ct NE,Redmond
246,675000,3,2,1680,10500,1,4,0,1959,0,4 128th Ave SE,Bellevue
247,526000,2,2,1550,2400,1,4,0,1900,1971,3845 Whitman Ave N,Seattle
248,560000,3,3,4120,60392,2,3,940,1994,0,32223 NE 88th St,Carnation
249,415000,4,3,1830,9548,2,3,0,1991,0,15204 88th Ave NE,Bothell
250,246000,3,1,1400,7410,1,3,0,1944,0,624 SW 137th St,Burien
251,314500,3,2,1870,12381,1,4,0,1957,2001,29645 10th Pl S,Federal Way
253,420000,2,2,1040,3500,1,4,0,1904,0,1713 22nd Ave S,Seattle
254,535000,3,2,2720,149410,1,3,0,1988,2000,33331 NE Lake Joy Rd,Carnation
255,350000,3,1,1010,9360,1,3,0,1981,2013,9703 130th Ave NE,Kirkland
256,515000,3,2,1580,9147,1,4,370,1967,0,234 W Lake Sammamish Pkwy SE,Bellevue
257,749950,4,3,2600,6050,2,5,640,1949,0,4140 53rd Ave SW,Seattle
258,230000,3,3,1920,9180,2,3,0,1988,2000,206 Oakesdale Ave SW,Renton
259,568000,3,2,2350,5080,1,3,570,1929,0,5531 Seward Park Ave S,Seattle
260,250000,1,1,1100,4373,1,2,280,1947,0,232 SW 154th St,Burien
261,581000,4,2,2510,13695,1,4,1230,1961,2001,11105 126th Ave NE,Kirkland
262,651000,3,3,3240,108366,2,4,0,1991,0,18611 SE 307th Ln,Kent
263,600000,3,3,2460,108900,1,4,600,1977,0,25525 SE 133rd St,Issaquah
264,500000,2,1,1010,3885,1,4,0,1906,1990,331 22nd Ave E,Seattle
265,475000,2,1,820,2723,1,3,0,1921,2000,4602 Woodlawn Ave N,Seattle
266,352000,5,3,2420,8560,1,3,800,1978,0,3723 S Chicago St,Seattle
267,420000,3,2,1770,8165,2,3,0,1977,2004,12921 79th Pl NE,Kirkland
268,428000,2,2,1350,3900,1,3,0,2003,0,232nd Way,Redmond
269,599000,3,2,1960,4788,1,4,870,1920,0,6253-6299 15th Ave NE,Seattle
270,492000,4,3,3305,16164,1,5,1060,1922,1956,1718 N 175th St,Shoreline
271,630000,2,2,2550,5663,1,3,830,2011,0,1225 N 41st Pl,Renton
272,900000,5,4,4130,226076,2,3,960,1985,0,12809-12907 206th Ave NE,Woodinville
273,1110000,4,2,2310,13300,1,3,420,1950,2005,9724 NE 14th St,Clyde Hill
274,575000,4,2,1650,5000,1,3,0,1955,2005,6708 14th Ave NW,Seattle
275,705000,4,3,2650,4316,1,3,1130,1905,2013,1902 45th Ave SW,Seattle
276,940000,4,2,1890,5940,1,3,420,1963,2008,1234 22nd Ave E,Seattle
277,313000,3,2,2190,8000,1,4,0,1967,0,32631 39th Ave SW,Federal Way
278,618080,3,3,2030,6500,2,3,0,1988,2000,4421-4564 186th Ave SE,Issaquah
279,640000,3,3,2270,5175,2,3,140,2002,0,1200 N 27th Pl,Renton
280,485000,3,2,1610,4160,1,4,600,1917,0,4313 SW Willow St,Seattle
281,300000,2,1,760,3001,1,3,0,1913,1983,1761 17th Ave S,Seattle
282,379500,2,1,1640,17335,1,3,800,1978,0,3301-3389 289th Ave NE,Redmond
283,339950,3,2,1630,12295,2,4,0,1985,0,19501 135th Ave SE,Renton
284,1500000,6,3,3560,6480,2,4,0,1914,1945,903 22nd Ave E,Seattle
285,1340000,3,3,2960,5500,2,3,520,1937,1990,3529 W Howe St,Seattle
286,500000,3,3,1940,37565,1,4,0,1987,0,20821 SE 135th St,Issaquah
287,239900,3,2,1410,7566,1,3,0,1985,0,11907 SE 261st Pl,Kent
288,314950,3,1,1040,16986,1,4,0,1968,0,18227 SE 135th St,Renton
289,361280,2,1,820,6400,1,4,0,1944,0,5902 37th Ave SW,Seattle
290,100000,2,1,910,22000,1,3,0,1956,2001,138 Seattle Blvd S,Algona
291,540000,7,6,3700,7647,2,3,0,1948,1984,15007-15299 37th Ave NE,Lake Forest Park
292,480500,4,3,2180,11200,1,4,0,1968,0,18911 NE 165th Pl,Woodinville
293,280000,3,3,1600,4271,2,3,0,2000,0,5146 S 303rd Pl,Auburn
294,440000,3,2,1500,6180,1,4,440,1947,1988,3827 39th Ave S,Seattle
295,530000,3,1,1340,4284,1,3,260,1910,2006,4703-4707 4th Ave NE,Seattle
296,560000,3,2,1860,13374,1,3,0,1985,0,1010 NW Inneswood Dr,Issaquah
297,775000,3,2,2540,7200,1,4,940,1905,0,517 32nd Ave S,Seattle
298,160000,2,1,1040,13100,1,5,0,1912,0,733 1st Ave N,Kent
299,209950,3,2,1380,11130,1,3,0,1960,2012,32016 8th Ave S,Federal Way
300,226500,3,2,1640,10762,1,3,510,1988,2000,27000-27080 201st Ave SE,Covington
301,380000,5,2,3000,6000,1,5,1500,1958,0,8514 S 124th St,Seattle
302,409500,4,3,2140,13000,1,3,820,1968,1997,19302 65th Pl NE,Kenmore
303,690000,3,2,1760,6428,1,4,780,1942,1982,2145 Condon Way W,Seattle
304,405000,3,2,1660,8307,1,4,0,1961,2001,605 N 178th St,Shoreline
305,375000,3,3,1830,13042,2,3,0,1990,2009,25408 Lake Wilderness Country Club Dr SE,Maple Valley
306,794154,4,2,2210,8556,1,4,1000,1954,1979,3235 30th Ave W,Seattle
307,185000,4,1,1490,6600,1,3,0,1969,2010,13248 Occidental Ave S,Burien
308,245000,3,2,1260,1270,2,3,220,2005,0,11304 Corliss Ave N,Seattle
309,1532500,5,5,4270,8076,2,3,870,2007,0,11017 101st Pl NE,Kirkland
310,1040000,4,4,3900,8391,2,3,0,2006,0,10908 101st Pl NE,Kirkland
311,425000,2,3,1150,1027,3,3,0,2008,0,3631 Greenwood Ave N,Seattle
312,495000,4,3,2656,21195,2,3,0,2014,0,31898 50th Pl S,Auburn
313,365000,5,3,2410,5003,1,3,1000,2008,0,7956 46th Ave S,Seattle
314,417250,3,2,1606,1452,3,3,0,2009,0,12303 Sand Point Way NE,Seattle
315,339950,2,1,820,681,3,3,0,2006,0,513 N 46th St,Seattle
316,615000,2,1,1540,6872,1,4,720,1946,1989,2814 13th Ave W,Seattle
317,403000,3,3,2090,8354,2,3,0,2012,1912,27930 NE 147th Pl,Duvall
318,980000,5,3,3160,11470,1,4,1380,1971,0,7401 92nd Pl SE,Mercer Island
319,258000,4,2,1730,8320,1,3,500,1977,2004,30633 21st Ave SW,Federal Way
320,533000,3,1,1670,4080,1,3,500,1967,2011,544 NE 84th St,Seattle
321,537500,4,3,2550,4630,2,3,0,2005,0,1825 251st Pl SE,Sammamish
